ep 1, loss: 117.60, 6400 train 19.73%, 1600 test 25.87% 
ep 2, loss: 97.42, 6400 train 22.77%, 1600 test 33.38% 
ep 3, loss: 94.05, 6400 train 26.55%, 1600 test 30.81% 
ep 4, loss: 94.02, 6400 train 26.70%, 1600 test 27.50% 
ep 5, loss: 93.70, 6400 train 27.28%, 1600 test 34.50% 
ep 6, loss: 92.62, 6400 train 28.72%, 1600 test 28.44% 
ep 7, loss: 93.00, 6400 train 27.66%, 1600 test 28.06% 
ep 8, loss: 92.22, 6400 train 28.70%, 1600 test 30.31% 
ep 9, loss: 92.21, 6400 train 28.83%, 1600 test 31.75% 
ep 10, loss: 89.78, 6400 train 31.70%, 1600 test 32.00% 
ep 11, loss: 89.88, 6400 train 31.06%, 1600 test 34.44% 
ep 12, loss: 88.60, 6400 train 32.11%, 1600 test 32.81% 
ep 13, loss: 88.75, 6400 train 32.27%, 1600 test 37.94% 
ep 14, loss: 87.59, 6400 train 33.45%, 1600 test 40.94% 
ep 15, loss: 87.88, 6400 train 33.02%, 1600 test 34.44% 
ep 16, loss: 84.72, 6400 train 36.23%, 1600 test 41.06% 
ep 17, loss: 85.37, 6400 train 35.70%, 1600 test 42.75% 
ep 18, loss: 85.30, 6400 train 35.81%, 1600 test 28.19% 
ep 19, loss: 86.02, 6400 train 35.75%, 1600 test 39.44% 
ep 20, loss: 84.22, 6400 train 36.30%, 1600 test 42.12% 
ep 21, loss: 82.83, 6400 train 37.50%, 1600 test 43.75% 
ep 22, loss: 81.04, 6400 train 39.36%, 1600 test 39.81% 
ep 23, loss: 81.04, 6400 train 40.17%, 1600 test 45.50% 
ep 24, loss: 79.29, 6400 train 41.98%, 1600 test 51.19% 
ep 25, loss: 79.62, 6400 train 41.62%, 1600 test 48.56% 
ep 26, loss: 78.72, 6400 train 42.27%, 1600 test 44.06% 
ep 27, loss: 76.89, 6400 train 43.62%, 1600 test 48.75% 
ep 28, loss: 76.48, 6400 train 44.22%, 1600 test 52.12% 
ep 29, loss: 74.80, 6400 train 45.64%, 1600 test 52.31% 
ep 30, loss: 74.37, 6400 train 46.56%, 1600 test 52.38% 
ep 31, loss: 74.50, 6400 train 46.28%, 1600 test 53.56% 
ep 32, loss: 71.59, 6400 train 49.08%, 1600 test 48.06% 
ep 33, loss: 71.10, 6400 train 48.64%, 1600 test 55.44% 
ep 34, loss: 71.62, 6400 train 48.91%, 1600 test 54.56% 
ep 35, loss: 69.64, 6400 train 50.67%, 1600 test 52.50% 
ep 36, loss: 67.84, 6400 train 51.39%, 1600 test 56.88% 
ep 37, loss: 67.27, 6400 train 52.17%, 1600 test 60.38% 
ep 38, loss: 66.97, 6400 train 52.16%, 1600 test 56.50% 
ep 39, loss: 66.36, 6400 train 52.17%, 1600 test 51.00% 
ep 40, loss: 65.60, 6400 train 53.52%, 1600 test 61.06% 
ep 41, loss: 65.64, 6400 train 53.27%, 1600 test 62.12% 
ep 42, loss: 63.89, 6400 train 54.48%, 1600 test 63.94% 
ep 43, loss: 63.86, 6400 train 54.95%, 1600 test 66.06% 
ep 44, loss: 62.76, 6400 train 55.53%, 1600 test 64.19% 
ep 45, loss: 63.30, 6400 train 55.55%, 1600 test 58.13% 
ep 46, loss: 61.63, 6400 train 56.08%, 1600 test 60.56% 
ep 47, loss: 61.46, 6400 train 56.47%, 1600 test 55.38% 
ep 48, loss: 60.20, 6400 train 57.80%, 1600 test 66.94% 
ep 49, loss: 60.98, 6400 train 56.97%, 1600 test 55.38% 
ep 50, loss: 60.31, 6400 train 57.80%, 1600 test 61.94% 
ep 51, loss: 60.05, 6400 train 56.98%, 1600 test 42.12% 
ep 52, loss: 66.81, 6400 train 52.30%, 1600 test 60.25% 
ep 53, loss: 61.92, 6400 train 56.66%, 1600 test 66.25% 
ep 54, loss: 60.58, 6400 train 56.81%, 1600 test 64.75% 
ep 55, loss: 58.36, 6400 train 58.94%, 1600 test 68.25% 
ep 56, loss: 57.90, 6400 train 58.88%, 1600 test 70.62% 
ep 57, loss: 57.94, 6400 train 59.55%, 1600 test 67.50% 
ep 58, loss: 56.98, 6400 train 60.41%, 1600 test 64.88% 
ep 59, loss: 56.27, 6400 train 60.16%, 1600 test 71.88% 
ep 60, loss: 60.71, 6400 train 57.75%, 1600 test 67.88% 
ep 61, loss: 56.49, 6400 train 60.41%, 1600 test 66.00% 
ep 62, loss: 55.98, 6400 train 60.55%, 1600 test 68.50% 
ep 63, loss: 55.23, 6400 train 61.39%, 1600 test 66.62% 
ep 64, loss: 55.09, 6400 train 61.27%, 1600 test 68.12% 
ep 65, loss: 54.77, 6400 train 61.62%, 1600 test 65.06% 
ep 66, loss: 54.63, 6400 train 61.58%, 1600 test 70.56% 
ep 67, loss: 53.61, 6400 train 62.91%, 1600 test 67.56% 
ep 68, loss: 53.41, 6400 train 62.44%, 1600 test 72.69% 
ep 69, loss: 52.45, 6400 train 63.80%, 1600 test 69.19% 
ep 70, loss: 53.04, 6400 train 63.44%, 1600 test 72.00% 
ep 71, loss: 51.19, 6400 train 64.53%, 1600 test 72.00% 
ep 72, loss: 52.17, 6400 train 63.16%, 1600 test 71.31% 
ep 73, loss: 51.61, 6400 train 63.95%, 1600 test 68.12% 
ep 74, loss: 51.74, 6400 train 63.41%, 1600 test 70.19% 
ep 75, loss: 49.80, 6400 train 65.23%, 1600 test 69.19% 
ep 76, loss: 49.52, 6400 train 65.72%, 1600 test 72.00% 
ep 77, loss: 50.24, 6400 train 64.58%, 1600 test 71.38% 
ep 78, loss: 49.63, 6400 train 65.02%, 1600 test 71.81% 
ep 79, loss: 49.14, 6400 train 66.06%, 1600 test 72.81% 
ep 80, loss: 48.80, 6400 train 66.08%, 1600 test 71.25% 
ep 81, loss: 49.07, 6400 train 65.50%, 1600 test 73.12% 
ep 82, loss: 49.39, 6400 train 65.55%, 1600 test 70.00% 
ep 83, loss: 49.12, 6400 train 65.80%, 1600 test 73.25% 
ep 84, loss: 47.43, 6400 train 67.61%, 1600 test 75.06% 
ep 85, loss: 48.56, 6400 train 66.61%, 1600 test 70.62% 
ep 86, loss: 47.00, 6400 train 67.14%, 1600 test 75.44% 
ep 87, loss: 49.32, 6400 train 65.25%, 1600 test 72.50% 
ep 88, loss: 48.23, 6400 train 66.52%, 1600 test 75.19% 
ep 89, loss: 46.96, 6400 train 67.27%, 1600 test 69.75% 
ep 90, loss: 47.53, 6400 train 66.89%, 1600 test 74.69% 
ep 91, loss: 45.45, 6400 train 68.41%, 1600 test 73.62% 
ep 92, loss: 45.92, 6400 train 68.50%, 1600 test 72.31% 
ep 93, loss: 45.80, 6400 train 68.02%, 1600 test 73.56% 
ep 94, loss: 46.66, 6400 train 67.30%, 1600 test 75.50% 
ep 95, loss: 46.90, 6400 train 67.48%, 1600 test 73.38% 
ep 96, loss: 45.62, 6400 train 68.80%, 1600 test 73.31% 
ep 97, loss: 45.87, 6400 train 68.34%, 1600 test 76.44% 
ep 98, loss: 44.74, 6400 train 68.72%, 1600 test 67.25% 
ep 99, loss: 46.20, 6400 train 67.98%, 1600 test 73.56% 
